id,filepath,filename,extension,frontmatter_status,frontmatter
1,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.git,.git,,,
2,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.gitignore,.gitignore,,,
3,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian,.obsidian,,,
4,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.trash,.trash,,,
5,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\00 - Notas Novas,00 - Notas Novas,,,
6,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\10 - Atlas,10 - Atlas,,,
7,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\20 - Calendário,20 - Calendário,,,
8,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\30 - Entes,30 - Entes,,,
9,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\40 - Meta,40 - Meta,,,
10,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\50 - Movimentos,50 - Movimentos,,,
11,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\60 - Áreas,60 - Áreas,,,
12,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\broken links output.md,broken links output,.md,FrontmatterStatus.VALID,{'modified': '2026-04-11 22:08:59'}
13,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\Controle de Versão do Vault - Git,Controle de Versão do Vault - Git,,,
14,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\Lixeira de Objetivos,Lixeira de Objetivos,,,
15,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\README.md,README,.md,FrontmatterStatus.MISSING,
16,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\app.json,app,.json,,
17,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\appearance.json,appearance,.json,,
18,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\bookmarks.json,bookmarks,.json,,
19,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\canvas.json,canvas,.json,,
20,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\community-plugins.json,community-plugins,.json,,
21,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\core-plugins.json,core-plugins,.json,,
22,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\daily-notes.json,daily-notes,.json,,
23,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\graph.json,graph,.json,,
24,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\hotkeys.json,hotkeys,.json,,
25,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\image-converter-image-alignments.json,image-converter-image-alignments,.json,,
26,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\page-preview.json,page-preview,.json,,
27,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\plugins,plugins,,,
28,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\snippets,snippets,,,
29,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\switcher.json,switcher,.json,,
30,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\templates.json,templates,.json,,
31,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\themes,themes,,,
32,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\types.json,types,.json,,
33,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\webviewer.json,webviewer,.json,,
34,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\workspace-mobile.json,workspace-mobile,.json,,
35,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\workspace.json,workspace,.json,,
36,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.obsidian\workspaces.json,workspaces,.json,,
37,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.trash\Rotina - 2026-03-05.md,Rotina - 2026-03-05,.md,FrontmatterStatus.VALID,"{'created': '2026-03-04 20:48:18', 'modified': '2026-03-04 20:48:19'}"
38,C:\Users\caiof\Drive\Obsidian\cognitio vitae 2\.trash\WP -- How To Read 2x More Without Changing Your Schedule.md,WP -- How To Read 2x More Without Changing Your Schedule,.md,FrontmatterStatus.VALID,"{'title': 'How To Read 2x More Without Changing Your Schedule', 'tags': ['midia/clippings'], 'categorias': ['[[Clippings (Categoria)]]'], 'source': 'https://www.amugofinsights.org/protocols-for-read-2x-more-without-changing-your-schedule/', 'author': ['[[Robin Waldun]]'], 'published': '2026-02-09', 'description': 'Protocols for reading more on autopilot', 'status': ['[[Planejada]]'], 'status_midia': ['[[md - Planejada]]'], 'created': '2026-03-17 11:43:23', 'modified': '2026-03-17 12:25:19'}"
